rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,borough,dishwasher,dist_waterfront,pets_allowed,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_16.0
8.40737832540903,1,1.0,6.345636360828596,1,0,0,1,1,1,1,0,0,Manhattan,0,1.7712803427069566,0,0,0,1,0,0,0,0,0,0,0,0
8.899730794880696,2,2.0,7.090076835776092,1,0,0,1,1,1,1,0,0,Manhattan,0,1.7712803427069566,0,0,0,1,0,0,0,0,0,0,0,0
8.779557455883728,2,2.0,7.090076835776092,0,1,1,0,0,0,0,0,0,Manhattan,1,2.9920644860102805,1,0,0,0,0,0,1,0,0,0,0,0
7.488293515159428,1,1.0,6.476972362889683,1,0,1,0,0,0,0,0,0,Manhattan,1,5.355401406059914,0,1,0,0,0,0,0,0,0,0,0,0
7.488293515159428,1,1.0,6.309918278226516,1,0,1,0,0,0,0,0,0,Manhattan,1,5.355401406059914,0,1,0,0,0,0,0,0,0,0,0,0
8.555451903533328,2,1.0,6.745236349484363,0,0,1,0,0,0,0,0,0,Manhattan,0,1.4313784450264144,0,0,0,0,0,0,0,0,1,0,0,0
7.772752716468742,0,1.0,5.991464547107982,0,0,0,1,0,0,0,1,0,Manhattan,0,1.286526152068615,1,0,0,0,0,0,0,1,0,0,0,0
8.809116258125274,4,2.0,7.1929342212158,0,0,0,1,0,0,0,1,0,Manhattan,0,1.286526152068615,1,0,0,0,0,0,0,1,0,0,0,0
8.779557455883728,2,2.0,6.907755278982137,0,1,0,1,0,0,0,1,0,Manhattan,1,1.941216411477707,1,0,0,1,0,0,0,0,0,0,0,0
8.100161446936607,2,1.0,6.529418838262226,0,0,0,0,0,0,0,0,0,Manhattan,1,0.670671298591954,1,0,1,0,0,0,0,0,0,0,0,0
8.157657015196472,3,1.0,6.684611727667927,0,0,0,0,0,0,0,0,0,Manhattan,0,2.0456769867517766,0,0,0,0,0,0,0,0,0,1,0,0
8.131530710604252,3,1.0,6.907755278982137,0,0,0,0,0,0,0,0,0,Manhattan,0,0.891516935714672,0,0,1,0,0,0,0,0,0,0,0,0
7.919356190660617,0,1.0,6.214608098422191,0,0,0,1,0,0,0,0,0,Manhattan,0,2.2788749048620165,0,0,0,1,0,0,0,0,0,0,0,0
8.987196820661973,2,2.0,7.495541943884256,0,0,0,0,0,0,0,0,0,Manhattan,1,1.587639663058108,0,0,0,0,0,0,0,0,1,0,0,0
7.7406644019172415,2,1.0,6.741700694652055,0,0,0,0,0,0,0,0,0,Manhattan,0,1.0277598668342582,0,0,1,0,0,0,0,0,0,0,0,0
8.656955133791396,3,1.0,6.476972362889683,0,0,0,0,0,0,0,0,0,Manhattan,0,1.9961132276102107,0,0,0,0,0,0,0,0,1,0,0,0
8.656955133791396,3,1.0,6.476972362889683,0,0,0,0,0,0,0,0,0,Manhattan,0,1.9961132276102107,0,0,0,0,0,0,0,0,1,0,0,0
8.507142855562735,1,1.0,6.907755278982137,0,0,0,1,0,0,0,1,0,Manhattan,0,1.294458190239475,0,0,1,0,0,0,0,0,0,0,0,0
8.411832675758411,3,1.0,6.907755278982137,0,0,0,1,0,0,0,1,0,Manhattan,0,0.7263700858720812,1,0,1,0,0,0,0,0,0,0,0,0
8.318742252692399,2,1.0,7.003065458786462,0,0,0,1,0,0,0,0,0,Manhattan,0,1.8819217862212982,1,0,0,0,0,0,0,0,0,1,0,0
8.471149252914831,3,1.0,6.745236349484363,0,0,1,0,0,0,0,0,0,Manhattan,1,1.6929583103216497,1,0,0,0,0,0,0,0,1,0,0,0
7.718685495198466,1,1.0,6.803505257608338,0,1,0,0,0,0,0,0,0,Manhattan,1,2.5776895881873965,1,0,0,0,0,1,0,0,0,0,0,0
8.116715624819111,1,1.0,6.620073206530356,1,1,0,1,0,0,1,1,1,Manhattan,1,0.6984366992659571,0,0,0,0,0,0,0,1,0,0,0,0
8.574140471857987,4,2.0,7.090076835776092,0,0,1,0,0,0,0,1,0,Manhattan,1,2.4374693230893807,0,0,0,0,0,1,0,0,0,0,0,0
8.410720946905721,1,1.0,6.907755278982137,0,1,1,0,0,0,0,0,0,Manhattan,1,1.9816402934622048,1,0,0,0,0,0,0,0,1,0,0,0
8.852950887099581,4,2.0,6.802394763324311,0,0,1,0,0,0,0,0,0,Manhattan,1,2.0216248604462357,1,0,0,1,0,0,0,0,0,0,0,0
7.240649694255466,0,0.0,4.624972813284271,0,1,1,0,1,0,0,1,0,Manhattan,1,2.153109792790446,0,0,0,0,0,1,0,0,0,0,0,0
7.27931883541462,0,0.0,4.718498871295094,0,1,1,0,1,0,0,1,0,Manhattan,1,2.153109792790446,0,0,0,0,0,1,0,0,0,0,0,0
7.240649694255466,0,0.0,4.624972813284271,0,1,1,0,1,0,0,1,0,Manhattan,1,2.153109792790446,0,0,0,0,0,1,0,0,0,0,0,0
7.19668657083435,0,0.0,4.48863636973214,0,1,1,0,1,0,0,1,0,Manhattan,1,2.153109792790446,0,0,0,0,0,1,0,0,0,0,0,0
7.919356190660617,2,2.0,5.703782474656201,1,0,1,0,1,0,0,0,0,Manhattan,1,1.1652513075645083,1,0,0,0,0,0,0,0,1,0,0,0
7.919356190660617,2,2.0,5.703782474656201,1,0,1,0,1,0,0,0,0,Manhattan,1,1.1652513075645083,1,0,0,0,0,0,0,0,1,0,0,0
7.696212639346407,0,0.0,5.703782474656201,1,0,1,0,1,0,0,0,0,Manhattan,1,1.1652513075645083,1,0,0,0,0,0,0,0,1,0,0,0
7.7406644019172415,0,1.0,5.783825182329737,0,0,0,0,0,0,0,0,0,Manhattan,1,2.095078623620434,1,0,0,1,0,0,0,0,0,0,0,0
7.824046010856292,1,1.0,6.484635235635252,0,1,1,0,0,0,0,0,0,Manhattan,1,2.482158988926333,0,0,0,1,0,0,0,0,0,0,0,0
7.803843303538772,0,1.0,5.857933154483459,0,0,0,0,0,0,0,0,0,Manhattan,0,1.1680223807538308,0,0,0,0,0,0,0,0,1,0,0,0
9.305650551780507,2,2.0,7.206377291472252,1,1,1,0,0,1,0,0,0,Manhattan,0,1.6286618790409686,0,0,0,0,0,0,0,0,1,0,0,0
7.99799931797973,2,1.0,6.354370040797351,0,0,0,0,0,0,0,0,0,Manhattan,0,4.116896500628015,1,1,0,0,0,0,0,0,0,0,0,0
7.4673710669175595,1,1.0,6.214608098422191,1,0,1,0,0,0,0,0,0,Manhattan,1,5.258216150147276,1,1,0,0,0,0,0,0,0,0,0,0
7.861341795599989,2,2.0,7.162397497355718,0,0,1,0,0,0,0,0,0,Manhattan,0,1.1813030554843356,1,0,1,0,0,0,0,0,0,0,0,0
8.294049640102028,2,1.0,6.476972362889683,1,1,0,1,0,1,0,1,0,Manhattan,1,0.8781666836596368,1,0,0,0,0,0,0,1,0,0,0,0
8.987196820661973,1,2.0,7.121252453244542,1,1,0,1,0,0,0,1,0,Manhattan,0,1.246222491986195,0,0,0,0,0,0,0,1,0,0,0,0
8.630521876723241,2,1.0,7.090076835776092,1,0,1,0,0,0,0,0,0,Manhattan,0,0.6325459999262983,1,0,0,0,0,0,0,1,0,0,0,0
8.612503371220562,2,1.0,6.802394763324311,0,0,0,0,0,0,0,0,0,Manhattan,0,1.399417645924786,1,0,0,1,0,0,0,0,0,0,0,0
7.919356190660617,0,1.0,6.309918278226516,1,1,0,1,0,0,0,1,0,Manhattan,0,0.7582043576052392,0,0,0,0,0,0,0,1,0,0,0,0
7.4673710669175595,1,1.0,6.802394763324311,0,0,0,0,0,0,0,0,0,Manhattan,0,5.01298124571842,1,1,0,0,0,0,0,0,0,0,0,0
8.267448958304849,0,1.0,6.396929655216146,0,1,0,1,0,0,0,1,0,Manhattan,1,3.257483926703191,1,0,0,0,0,0,1,0,0,0,0,0
8.612503371220562,2,1.0,6.684611727667927,0,1,0,1,0,0,0,1,0,Manhattan,1,3.257483926703191,1,0,0,0,0,0,1,0,0,0,0,0
8.852950887099581,4,2.0,7.170119543449628,0,0,1,0,0,0,0,0,0,Manhattan,0,1.235271950766085,0,0,0,0,0,0,0,1,0,0,0,0
8.49596955496461,3,2.5,7.3777589082278725,0,1,1,0,0,0,0,0,0,Manhattan,0,2.297505964735753,0,0,0,0,0,1,0,0,0,0,0,0
7.9355873855892,3,1.0,7.090076835776092,0,0,0,0,0,0,0,0,0,Manhattan,1,1.2933122070416962,1,0,1,0,0,0,0,0,0,0,0,0
8.039157390473237,0,1.0,6.684611727667927,0,1,0,1,0,0,0,1,0,Manhattan,1,3.3643871481650343,0,0,0,0,0,0,1,0,0,0,0,0
9.258177701390343,2,2.0,7.177782416195197,1,1,1,0,0,1,0,0,0,Manhattan,0,1.3205654100759374,1,0,0,0,0,0,0,1,0,0,0,0
7.989560449333865,1,1.0,6.551080335043404,1,0,1,0,0,0,0,1,0,Manhattan,1,0.604393043858757,0,0,1,0,0,0,0,0,0,0,0,0
